Day,Colony,Treatment,Tub,Extension,Color
1,4,Ambient,1,80,100
1,6,Ambient,1,80,100
1,7,Ambient,1,80,100
1,10,Ambient,1,80,80
1,11,Ambient,1,40,100
1,16,Ambient,1,80,100
1,17,Ambient,1,60,100
1,22,Ambient,1,40,80
1,23,Ambient,1,80,60
1,25,Ambient,1,100,100
1,34,Ambient,1,100,100
1,35,Ambient,1,80,100
1,49,Ambient,1,60,100
1,57,Ambient,1,0,100
1,3,Ambient,2,40,100
1,8,Ambient,2,0,100
1,9,Ambient,2,0,100
1,13,Ambient,2,60,100
1,14,Ambient,2,100,80
1,15,Ambient,2,20,100
1,18,Ambient,2,60,100
1,20,Ambient,2,40,100
1,24,Ambient,2,60,100
1,31,Ambient,2,40,100
1,32,Ambient,2,20,100
1,47,Ambient,2,60,40
1,53,Ambient,2,20,80
1,59,Ambient,2,80,100
1,1,Ambient,3,20,80
1,2,Ambient,3,20,80
1,5,Ambient,3,20,80
1,12,Ambient,3,80,60
1,19,Ambient,3,0,100
1,21,Ambient,3,0,100
1,26,Ambient,3,20,100
1,27,Ambient,3,0,100
1,28,Ambient,3,0,100
1,29,Ambient,3,20,100
1,30,Ambient,3,40,0
1,33,Ambient,3,40,20
1,51,Ambient,3,0,80
1,55,Ambient,3,20,80
1,1,High,1,60,100
1,2,High,1,20,100
1,5,High,1,0,100
1,17,High,1,0,80
1,20,High,1,20,100
1,23,High,1,80,80
1,24,High,1,20,100
1,29,High,1,40,100
1,32,High,1,60,100
1,33,High,1,20,0
1,34,High,1,20,100
1,4,High,2,0,100
1,7,High,2,40,80
1,10,High,2,80,80
1,14,High,2,60,80
1,19,High,2,40,100
1,22,High,2,60,100
1,25,High,2,80,100
1,26,High,2,100,100
1,27,High,2,20,100
1,28,High,2,20,100
1,31,High,2,20,100
1,46,High,2,0,100
1,48,High,2,40,80
1,50,High,2,40,100
1,52,High,2,80,60
1,54,High,2,20,100
1,58,High,2,60,80
1,60,High,2,80,100
1,3,High,3,40,100
1,6,High,3,60,100
1,8,High,3,20,100
1,9,High,3,60,100
1,11,High,3,30,100
1,12,High,3,60,100
1,13,High,3,0,100
1,15,High,3,80,100
1,16,High,3,0,100
1,18,High,3,60,100
1,21,High,3,20,100
1,30,High,3,80,80
1,35,High,3,80,100
1,44,High,3,20,20
1,56,High,3,60,100
2,1,Ambient,3,20,60
2,2,Ambient,3,40,100
2,3,Ambient,2,80,80
2,4,Ambient,1,60,100
2,5,Ambient,3,20,60
2,6,Ambient,1,100,100
2,7,Ambient,1,40,80
2,8,Ambient,2,0,100
2,9,Ambient,2,20,100
2,10,Ambient,1,80,60
2,11,Ambient,1,20,100
2,12,Ambient,3,40,60
2,13,Ambient,2,100,100
2,14,Ambient,2,60,60
2,15,Ambient,2,60,100
2,16,Ambient,1,80,80
2,17,Ambient,1,0,100
2,18,Ambient,2,0,100
2,19,Ambient,3,0,100
2,20,Ambient,2,60,100
2,21,Ambient,3,20,100
2,22,Ambient,1,0,100
2,23,Ambient,1,0,100
2,24,Ambient,2,60,100
2,25,Ambient,1,20,100
