Treatment,Colony,Day,Temperate at weight (°C),Tub,Buoyant weight (g),Standard dry weight (g),Standard volume (cm^3),Standard density (g cm^-3),Standard buoyant weight (g),SW density at weight (g cm^-3),Skeletal density (g ^cm-3),Skeletal dry weight (g),Percent change per day (g day^-1),Change per day (g/cm2/d),SA (cm^2),Change per day (g cm^-2 d^-1)
Ambient,1,1,18.8,3,3.946,52.6148,7,7.5164,45.767,0.978257143,2.93,5.924,N/A,N/A,,N/A
Ambient,2,1,19.3,3,6.855,52.6148,7,7.5164,46.01,0.943542857,2.93,10.111,N/A,N/A,,N/A
Ambient,3,1,19.5,2,4.102,52.6148,7,7.5164,46.077,0.933971429,2.93,6.021,N/A,N/A,,N/A
Ambient,4,1,19.3,1,7.786,52.6148,7,7.5164,46.01,0.943542857,2.93,11.484,N/A,N/A,,N/A
Ambient,5,1,19.8,3,4.138,52.6148,7,7.5164,45.651,0.994828571,2.93,6.265,N/A,N/A,,N/A
Ambient,6,1,19.3,1,4.089,52.6148,7,7.5164,46.01,0.943542857,2.93,6.031,N/A,N/A,,N/A
Ambient,7,1,19.6,1,3.976,52.6148,7,7.5164,45.77,0.977828571,2.93,5.968,N/A,N/A,,N/A
Ambient,8,1,19.2,2,8.045,52.6148,7,7.5164,45.818,0.970971429,2.93,12.032,N/A,N/A,,N/A
Ambient,9,1,18.9,2,7.357,52.6148,7,7.5164,45.868,0.963828571,2.93,10.963,N/A,N/A,,N/A
Ambient,10,1,19.5,1,4.324,52.6148,7,7.5164,46.077,0.933971429,2.93,6.347,N/A,N/A,,N/A
Ambient,11,1,19.7,1,5.118,52.6148,7,7.5164,45.869,0.963685714,2.93,7.626,N/A,N/A,,N/A
Ambient,12,1,19.8,3,4.221,52.6148,7,7.5164,45.651,0.994828571,2.93,6.391,N/A,N/A,,N/A
Ambient,13,1,19.8,2,4.028,52.6148,7,7.5164,45.651,0.994828571,2.93,6.099,N/A,N/A,,N/A
Ambient,14,1,19.7,2,4.515,52.6148,7,7.5164,45.869,0.963685714,2.93,6.728,N/A,N/A,,N/A
Ambient,15,1,19.6,2,9.549,52.6148,7,7.5164,45.77,0.977828571,2.93,14.332,N/A,N/A,,N/A
Ambient,16,1,19,1,4.556,52.6148,7,7.5164,46.04,0.939257143,2.93,6.706,N/A,N/A,,N/A
Ambient,17,1,19.5,1,3.878,52.6148,7,7.5164,46.077,0.933971429,2.93,5.693,N/A,N/A,,N/A
Ambient,18,1,19.6,2,5.329,52.6148,7,7.5164,45.77,0.977828571,2.93,7.998,N/A,N/A,,N/A
Ambient,19,1,19.8,3,4.498,52.6148,7,7.5164,45.651,0.994828571,2.93,6.81,N/A,N/A,,N/A
Ambient,20,1,19.6,2,7.098,52.6148,7,7.5164,45.77,0.977828571,2.93,10.653,N/A,N/A,,N/A
Ambient,21,1,19.6,3,4.476,52.6148,7,7.5164,45.77,0.977828571,2.93,6.718,N/A,N/A,,N/A
Ambient,22,1,19.4,1,3.728,52.6148,7,7.5164,45.796,0.974114286,2.93,5.585,N/A,N/A,,N/A
Ambient,23,1,19.5,1,4.444,52.6148,7,7.5164,46.077,0.933971429,2.93,6.523,N/A,N/A,,N/A
Ambient,24,1,19,2,4.295,52.6148,7,7.5164,46.04,0.939257143,2.93,6.321,N/A,N/A,,N/A
Ambient,25,1,19.6,1,4.371,52.6148,7,7.5164,45.77,0.977828571,2.93,6.56,N/A,N/A,,N/A
Ambient,26,1,19.1,3,9.253,52.6148,7,7.5164,45.911,0.957685714,2.93,13.746,N/A,N/A,,N/A
Ambient,27,1,18.9,3,5.41,52.6148,7,7.5164,45.868,0.963828571,2.93,8.062,N/A,N/A,,N/A
Ambient,28,1,19,3,7.496,52.6148,7,7.5164,46.04,0.939257143,2.93,11.033,N/A,N/A,,N/A
Ambient,29,1,19.6,3,4.125,52.6148,7,7.5164,45.77,0.977828571,2.93,6.191,N/A,N/A,,N/A
Ambient,30,1,19.4,3,7.034,52.6148,7,7.5164,45.796,0.974114286,2.93,10.537,N/A,N/A,,N/A
Ambient,31,1,18.8,2,5.681,52.6148,7,7.5164,45.767,0.978257143,2.93,8.528,N/A,N/A,,N/A
Ambient,32,1,18.9,2,4.145,52.6148,7,7.5164,45.868,0.963828571,2.93,6.177,N/A,N/A,,N/A
Ambient,33,1,19,3,7.015,52.6148,7,7.5164,46.04,0.939257143,2.93,10.325,N/A,N/A,,N/A
Ambient,34,1,19.8,1,4.276,52.6148,7,7.5164,45.651,0.994828571,2.93,6.474,N/A,N/A,,N/A
Ambient,35,1,19.4,1,4.033,52.6148,7,7.5164,45.796,0.974114286,2.93,6.042,N/A,N/A,,N/A
Ambient,47,1,19.2,2,5.226,52.6148,7,7.5164,45.818,0.970971429,2.93,7.816,N/A,N/A,,N/A
Ambient,49,1,19.6,1,5.271,52.6148,7,7.5164,45.77,0.977828571,2.93,7.911,N/A,N/A,,N/A
Ambient,51,1,18.8,3,6.565,52.6148,7,7.5164,45.767,0.978257143,2.93,9.856,N/A,N/A,,N/A
Ambient,53,1,19.2,2,4.934,52.6148,7,7.5164,45.818,0.970971429,2.93,7.379,N/A,N/A,,N/A
Ambient,55,1,19.2,3,6.462,52.6148,7,7.5164,45.818,0.970971429,2.93,9.665,N/A,N/A,,N/A
Ambient,57,1,19.5,1,4.724,52.6148,7,7.5164,46.077,0.933971429,2.93,6.934,N/A,N/A,,N/A
Ambient,59,1,19.4,2,4.065,52.6148,7,7.5164,45.796,0.974114286,2.93,6.09,N/A,N/A,,N/A
High,1,1,19.7,1,4.133,52.6148,7,7.5164,45.869,0.963685714,2.93,6.159,N/A,N/A,,N/A
High,2,1,18.9,1,6.298,52.6148,7,7.5164,45.868,0.963828571,2.93,9.385,N/A,N/A,,N/A
High,3,1,19.4,3,4.179,52.6148,7,7.5164,45.796,0.974114286,2.93,6.26,N/A,N/A,,N/A
High,4,1,19.7,2,8.084,52.6148,7,7.5164,45.869,0.963685714,2.93,12.046,N/A,N/A,,N/A
High,5,1,19.6,1,4.248,52.6148,7,7.5164,45.77,0.977828571,2.93,6.376,N/A,N/A,,N/A
High,6,1,19.7,3,3.83,52.6148,7,7.5164,45.869,0.963685714,2.93,5.707,N/A,N/A,,N/A
High,7,1,19.4,2,4.228,52.6148,7,7.5164,45.796,0.974114286,2.93,6.334,N/A,N/A,,N/A
High,8,1,18.8,3,8.323,52.6148,7,7.5164,45.767,0.978257143,2.93,12.495,N/A,N/A,,N/A
High,9,1,19.8,3,8.366,52.6148,7,7.5164,45.651,0.994828571,2.93,12.667,N/A,N/A,,N/A
High,10,1,19.7,2,5.127,52.6148,7,7.5164,45.869,0.963685714,2.93,7.64,N/A,N/A,,N/A
High,11,1,19.3,3,4.423,52.6148,7,7.5164,46.01,0.943542857,2.93,6.524,N/A,N/A,,N/A
High,12,1,19.1,3,3.983,52.6148,7,7.5164,45.911,0.957685714,2.93,5.917,N/A,N/A,,N/A
High,13,1,19.1,3,3.808,52.6148,7,7.5164,45.911,0.957685714,2.93,5.657,N/A,N/A,,N/A
High,14,1,19.7,2,4.483,52.6148,7,7.5164,45.869,0.963685714,2.93,6.68,N/A,N/A,,N/A
High,15,1,19,3,8.228,52.6148,7,7.5164,46.04,0.939257143,2.93,12.11,N/A,N/A,,N/A
High,16,1,19.5,3,3.68,52.6148,7,7.5164,46.077,0.933971429,2.93,5.402,N/A,N/A,,N/A
High,17,1,19.2,1,3.856,52.6148,7,7.5164,45.818,0.970971429,2.93,5.767,N/A,N/A,,N/A
High,18,1,19.6,3,4.779,52.6148,7,7.5164,45.77,0.977828571,2.93,7.173,N/A,N/A,,N/A
High,19,1,19.4,2,4.517,52.6148,7,7.5164,45.796,0.974114286,2.93,6.767,N/A,N/A,,N/A
High,20,1,19.7,1,10.441,52.6148,7,7.5164,45.869,0.963685714,2.93,15.558,N/A,N/A,,N/A
High,21,1,19.8,3,4.691,52.6148,7,7.5164,45.651,0.994828571,2.93,7.103,N/A,N/A,,N/A
