curve,solution.pH,avg.yr.ratio
1,6.04,1.728592205
1,6.04,1.72344858
1,6.04,1.645974081
1,6.04,1.717245745
1,6.04,1.717855873
1,6.04,1.738575234
1,6.04,1.923557592
1,6.04,1.939466626
1,6.04,1.63638712
1,6.04,1.777623749
1,6.04,1.521312762
1,6.04,1.707684825
1,6.04,1.73906521
1,6.04,1.610517991
1,6.04,1.59410629
1,6.04,1.67903723
1,6.04,1.73192974
1,6.04,1.631216288
1,6.04,1.587554149
1,6.04,1.697135147
1,6.04,1.661518662
1,6.04,1.633296582
1,6.04,1.504799735
1,6.04,1.644338004
1,6.04,1.8503488
1,6.04,1.719779663
1,6.04,1.655354647
1,6.04,1.87049409
1,6.04,1.706476759
1,6.04,1.672727837
1,6.04,1.577810304
1,6.04,1.659912409
1,6.04,1.650378378
1,6.04,1.793626253
1,6.04,1.746806186
1,6.04,1.789954338
1,6.04,1.939033506
1,6.04,1.751898187
1,6.04,1.650378378
1,6.04,1.793626253
1,6.04,1.746806186
1,6.04,1.789954338
1,6.04,1.939033506
1,6.04,1.751898187
1,6.52,1.795504649
1,6.52,1.683003333
1,6.52,1.666974952
1,6.52,1.155444792
1,6.52,1.685362685
1,6.52,1.472412884
1,6.52,1.5415786
1,6.52,1.616864043
1,6.52,1.639916716
1,6.52,1.671568144
1,6.52,1.603607188
1,6.52,1.586199109
1,6.52,1.556473899
1,6.52,1.870622705
1,6.52,2.063213038
1,6.52,1.5829408
1,6.52,1.675957018
1,6.52,1.659387346
1,6.52,1.604876067
1,6.52,1.650701609
1,6.52,1.609574536
1,6.52,1.615867993
1,6.52,1.727023651
1,6.52,1.73013221
1,6.52,1.609165067
1,6.52,1.72232313
1,6.52,1.695302488
1,6.52,1.668653389
1,6.52,1.677838656
1,6.52,1.666798152
1,7.02,1.37640539
1,7.02,1.529369347
1,7.02,1.322535159
1,7.02,1.539194195
1,7.02,1.701082792
1,7.02,1.444128643
1,7.02,1.429794096
1,7.02,1.437464018
1,7.02,1.415015974
1,7.02,1.478910609
1,7.02,1.544846721
1,7.02,1.414140965
1,7.02,1.486134692
1,7.02,1.47602863
1,7.02,1.4566551
1,7.02,1.52373496
1,7.02,1.473650275
1,7.02,1.53127307
1,7.02,1.608680248
1,7.02,1.633358404
1,7.02,1.476198172
1,7.02,1.483811362
1,7.02,1.584498314
1,7.02,1.431511548
1,7.02,1.455467732
1,7.02,1.679362645
1,7.02,1.469670816
1,7.02,1.835379961
1,7.02,1.940389622
1,7.02,1.354345031
1,7.02,1.564951404
1,7.02,1.72646891
1,7.02,1.322923942
1,7.02,1.444933796
1,7.02,1.412511817
1,7.02,1.464869057
1,7.02,1.377317643
1,7.02,1.458309545
1,7.02,1.417801687
1,7.02,1.342494116
1,7.02,1.380043709
1,7.02,1.450658849
1,7.02,1.548613532
1,7.02,1.675401394
1,7.02,1.440468846
1,7.02,1.53516991
1,7.02,1.457669549
1,7.02,1.394826537
1,7.02,1.54154954
1,7.02,1.462851565
1,7.02,1.419327731
1,7.02,1.39369921
1,7.02,1.709936943
1,7.02,1.425284411
1,7.02,1.367325554
1,7.02,1.413450907
1,7.02,1.398505089
1,7.02,1.628601509
1,7.02,1.405558554
1,7.02,1.356846661
1,7.02,1.495324115
1,7.02,1.47718389
1,7.02,1.472823866
1,7.02,1.44848642
1,7.02,1.458465471
1,7.02,1.620035743
1,7.02,1.472733787
1,7.02,1.390227565
1,7.02,1.459378186
1,7.02,1.445896235
1,7.02,1.433388843
1,7.02,1.391893104
1,7.02,1.511428571
1,7.02,1.171003323
1,7.02,1.350625018
1,7.02,1.413102629
1,7.02,1.264486711
1,7.02,1.289253617
1,7.02,1.41087186
1,7.02,1.338336696
1,7.02,1.328248533
1,7.02,1.40616364
1,7.02,1.460392177
1,7.02,1.451882549
1,7.02,1.457538886
1,7.02,1.49088188
1,7.02,1.57341074
1,7.02,1.45592103
1,7.02,1.455163521
1,7.02,1.511985196
1,7.02,1.541290145
1,7.02,1.489131136
1,7.02,1.548043318
1,7.02,1.869146068
1,7.02,1.505683795
1,7.02,1.810125352
1,7.02,1.332730561
1,7.02,1.505230962
1,7.02,1.570893926
1,7.02,1.731035792
1,7.02,1.592373022
1,7.02,1.637224665
1,7.02,1.738787328
1,7.02,1.706985725
1,7.02,1.693266268
1,7.02,1.655253212
1,7.02,1.732122656
1,7.02,1.7630657
1,7.02,1.653331345
1,7.02,1.678179777
1,7.02,1.56442863
1,7.02,1.633739007
1,7.02,1.621273713
1,7.02,1.619315624
1,7.02,1.692514753
1,7.02,1.602276614
1,7.5,0.946723754
1,7.5,0.831894304
1,7.5,0.919914202
1,7.5,0.929946318
1,7.5,0.848083928
1,7.5,1.081188265
1,7.5,0.964677993
1,7.5,0.786375877
1,7.5,1.046229454
1,7.5,1.018549114
1,7.5,1.062464509
1,7.5,0.844784949
1,7.5,0.923367681
1,7.5,0.953150874
1,7.5,0.860842786
1,7.5,0.946276665
1,7.5,0.816520695
1,7.5,1.040666905
1,7.5,0.874919945
1,7.5,0.946200539
1,7.5,0.884494967
1,7.5,0.892078015
1,7.5,1.085080017
1,7.5,0.924762699
1,7.5,1.034156459
1,7.5,1.079500782
1,7.5,0.94461357
1,7.5,0.942703224
1,7.5,0.893897512
1,7.5,0.882526939
1,7.5,0.920748153
1,7.5,0.693526705
1,7.5,0.956673133
1,7.5,0.980833428
1,7.5,1.060485634
1,7.5,0.913742331
1,7.5,0.852698687
1,7.5,1.04548396
1,7.5,1.027120329
1,7.5,0.941538138
1,7.5,0.9002251
1,7.5,0.931970579
1,7.5,0.715998888
1,7.5,0.795819936
1,7.5,0.739283355
1,7.5,0.899292155
1,7.5,1.048955236
1,7.5,1.205306925
1,7.5,0.89621181
1,7.5,1.007724302
1,7.5,1.064138289
1,7.5,1.143999025
1,7.5,1.232829777
1,7.5,1.057368088
1,7.5,1.104275795
1,7.5,1.061804987
1,7.5,1.133301595
1,7.5,0.889105903
1,8,0.63370733
1,8,0.743683302
1,8,0.787013568
1,8,0.889031992
1,8,0.560491639
1,8,0.703253114
1,8,0.630141783
1,8,0.966114748
1,8,0.737178305
1,8,0.49016109
1,8,0.779923554
1,8,0.76723124
1,8,1.07188359
1,8,0.72961255
1,8,0.819255292
1,8,0.738771296
1,8,0.634684503
1,8,0.679498455
1,8,0.735451513
1,8,0.717209079
1,8,0.792006926
1,8,0.830599186
1,8,0.942382937
1,8,0.681494912
1,8,0.694004605
1,8,0.61484793
1,8,0.893807128
1,8,0.940351874
1,8,0.917290249
1,8,0.726929463
1,8,0.686707757
1,8,0.680437041
1,8,0.671793971
1,8,0.685350467
1,8,0.605270923
1,8,0.656126482
1,8,0.670562564
1,8,0.741131977
1,8,0.715510617
1,8,0.598992629
1,8,0.640396016
1,8,0.842759494
1,8,0.724105128
1,8,0.793577615
1,8,0.799429119
1,8,1.005640794
1,8,0.980095682
1,8,0.985057812
1,8,1.076153532
1,8,0.985311842
2,6,1.484885533
2,6,1.820554193
2,6,1.942833826
2,6,1.642415094
2,6,1.705247529
2,6,1.808074325
2,6,1.920043186
2,6,1.880426194
2,6,1.744693741
2,6,1.806426267
2,6,1.72050532
2,6,1.773524468
2,6,1.720958972
2,6,1.566156207
2,6,1.595866714
2,6,1.742734821
2,6,1.793144002
2,6,1.721976569
2,6,1.720423228
2,6,1.727665901
2,6,1.715640949
2,6,1.374317126
2,6,1.432735999
2,6,1.846481577
2,6,1.735237766
2,6,1.577244667
2,6,1.537083204
2,6,1.613143364
2,6,1.729428448
2,6,1.866281329
2,6,1.77432068
2,6,1.92403151
2,6,1.741602451
2,6,1.653458464
2,6,1.741590858
2,6,1.699183233
2,6,1.682332324
2,6,1.810268195
2,6,2.047392276
