Treatment,Tub,Date,Time,DateTime,Temperature (°F),Temperature (°C)
Ambient,1,2023-01-31,18:15,2023-01-31 18:15,72.545,22.525
Ambient,1,2023-01-31,18:30,2023-01-31 18:30,75.139,23.96611111
Ambient,1,2023-01-31,18:45,2023-01-31 18:45,74.964,23.86888889
Ambient,1,2023-01-31,19:00,2023-01-31 19:00,75.484,24.15777778
Ambient,1,2023-01-31,19:15,2023-01-31 19:15,74.791,23.77277778
Ambient,1,2023-01-31,19:30,2023-01-31 19:30,74.271,23.48388889
Ambient,1,2023-01-31,19:45,2023-01-31 19:45,73.926,23.29222222
Ambient,1,2023-01-31,20:00,2023-01-31 20:00,73.407,23.00388889
Ambient,1,2023-01-31,20:15,2023-01-31 20:15,73.062,22.81222222
Ambient,1,2023-01-31,20:30,2023-01-31 20:30,72.545,22.525
Ambient,1,2023-01-31,20:45,2023-01-31 20:45,72.199,22.33277778
Ambient,1,2023-01-31,21:00,2023-01-31 21:00,72.199,22.33277778
Ambient,1,2023-01-31,21:15,2023-01-31 21:15,75.139,23.96611111
Ambient,1,2023-01-31,21:30,2023-01-31 21:30,74.964,23.86888889
Ambient,1,2023-01-31,21:45,2023-01-31 21:45,74.446,23.58111111
Ambient,1,2023-01-31,22:00,2023-01-31 22:00,73.926,23.29222222
Ambient,1,2023-01-31,22:15,2023-01-31 22:15,73.407,23.00388889
Ambient,1,2023-01-31,22:30,2023-01-31 22:30,72.891,22.71722222
Ambient,1,2023-01-31,22:45,2023-01-31 22:45,72.545,22.525
Ambient,1,2023-01-31,23:00,2023-01-31 23:00,72.199,22.33277778
Ambient,1,2023-01-31,23:15,2023-01-31 23:15,72.199,22.33277778
Ambient,1,2023-01-31,23:30,2023-01-31 23:30,75.139,23.96611111
Ambient,1,2023-01-31,23:45,2023-01-31 23:45,74.791,23.77277778
Ambient,1,2023-02-01,0:00,2023-02-01 00:00,74.271,23.48388889
Ambient,1,2023-02-01,0:15,2023-02-01 00:15,73.753,23.19611111
Ambient,1,2023-02-01,0:30,2023-02-01 00:30,73.234,22.90777778
Ambient,1,2023-02-01,0:45,2023-02-01 00:45,72.718,22.62111111
Ambient,1,2023-02-01,1:00,2023-02-01 01:00,72.372,22.42888889
Ambient,1,2023-02-01,1:15,2023-02-01 01:15,72.028,22.23777778
Ambient,1,2023-02-01,1:30,2023-02-01 01:30,71.683,22.04611111
Ambient,1,2023-02-01,1:45,2023-02-01 01:45,74.791,23.77277778
Ambient,1,2023-02-01,2:00,2023-02-01 02:00,74.964,23.86888889
Ambient,1,2023-02-01,2:15,2023-02-01 02:15,74.446,23.58111111
Ambient,1,2023-02-01,2:30,2023-02-01 02:30,73.926,23.29222222
Ambient,1,2023-02-01,2:45,2023-02-01 02:45,73.407,23.00388889
Ambient,1,2023-02-01,3:00,2023-02-01 03:00,72.891,22.71722222
Ambient,1,2023-02-01,3:15,2023-02-01 03:15,72.372,22.42888889
Ambient,1,2023-02-01,3:30,2023-02-01 03:30,72.028,22.23777778
Ambient,1,2023-02-01,3:45,2023-02-01 03:45,71.683,22.04611111
Ambient,1,2023-02-01,4:00,2023-02-01 04:00,74.098,23.38777778
Ambient,1,2023-02-01,4:15,2023-02-01 04:15,74.964,23.86888889
Ambient,1,2023-02-01,4:30,2023-02-01 04:30,74.619,23.67722222
Ambient,1,2023-02-01,4:45,2023-02-01 04:45,73.926,23.29222222
Ambient,1,2023-02-01,5:00,2023-02-01 05:00,73.58,23.1
Ambient,1,2023-02-01,5:15,2023-02-01 05:15,73.062,22.81222222
Ambient,1,2023-02-01,5:30,2023-02-01 05:30,72.545,22.525
Ambient,1,2023-02-01,5:45,2023-02-01 05:45,72.199,22.33277778
Ambient,1,2023-02-01,6:00,2023-02-01 06:00,71.683,22.04611111
Ambient,1,2023-02-01,6:15,2023-02-01 06:15,72.891,22.71722222
Ambient,1,2023-02-01,6:30,2023-02-01 06:30,75.139,23.96611111
Ambient,1,2023-02-01,6:45,2023-02-01 06:45,74.791,23.77277778
Ambient,1,2023-02-01,7:00,2023-02-01 07:00,74.271,23.48388889
Ambient,1,2023-02-01,7:15,2023-02-01 07:15,73.753,23.19611111
Ambient,1,2023-02-01,7:30,2023-02-01 07:30,73.407,23.00388889
Ambient,1,2023-02-01,7:45,2023-02-01 07:45,72.891,22.71722222
Ambient,1,2023-02-01,8:00,2023-02-01 08:00,72.372,22.42888889
Ambient,1,2023-02-01,8:15,2023-02-01 08:15,72.028,22.23777778
Ambient,1,2023-02-01,8:30,2023-02-01 08:30,71.683,22.04611111
Ambient,1,2023-02-01,8:45,2023-02-01 08:45,73.062,22.81222222
Ambient,1,2023-02-01,9:00,2023-02-01 09:00,75.139,23.96611111
Ambient,1,2023-02-01,9:15,2023-02-01 09:15,74.791,23.77277778
Ambient,1,2023-02-01,9:30,2023-02-01 09:30,74.271,23.48388889
Ambient,1,2023-02-01,9:45,2023-02-01 09:45,73.753,23.19611111
Ambient,1,2023-02-01,10:00,2023-02-01 10:00,73.407,23.00388889
Ambient,1,2023-02-01,10:15,2023-02-01 10:15,72.891,22.71722222
Ambient,1,2023-02-01,10:30,2023-02-01 10:30,72.545,22.525
Ambient,1,2023-02-01,10:45,2023-02-01 10:45,72.028,22.23777778
Ambient,1,2023-02-01,11:00,2023-02-01 11:00,71.683,22.04611111
Ambient,1,2023-02-01,11:15,2023-02-01 11:15,71.856,22.14222222
Ambient,1,2023-02-01,11:30,2023-02-01 11:30,74.964,23.86888889
Ambient,1,2023-02-01,11:45,2023-02-01 11:45,74.791,23.77277778
Ambient,1,2023-02-01,12:00,2023-02-01 12:00,74.446,23.58111111
Ambient,1,2023-02-01,12:15,2023-02-01 12:15,73.926,23.29222222
